k_tit,titulo,admissoes_europa,vod_presencas,vod_paises,n_festival_atas,tem_coproducao,tem_ibermedia,cpb,n_apoio_festival,n_canais_intl
ela volta na quinta,ELA VOLTA NA QUINTA,0.0,0.0,0.0,17.0,0.0,0.0,,0,1
em tres atos,EM TRÊS ATOS,0.0,0.0,0.0,4.0,0.0,0.0,,0,1
futuro junho,FUTURO JUNHO,0.0,0.0,0.0,7.0,0.0,0.0,,0,1
habi la extranjera,"HABI, LA EXTRANJERA",0.0,0.0,0.0,5.0,1.0,1.0,,0,3
hoje,HOJE,0.0,0.0,0.0,3.0,0.0,0.0,,0,1
joao o maestro,"JOÃO, O MAESTRO",0.0,0.0,0.0,6.0,0.0,0.0,,0,1
la parle,LA PARLE,0.0,0.0,0.0,1.0,0.0,0.0,B2100501800000,0,1
maresia,MARESIA,0.0,0.0,0.0,5.0,0.0,1.0,,0,2
minha irma e eu,MINHA IRMÃ E EU,0.0,0.0,0.0,2.0,0.0,0.0,B2300519200000,0,1
nise o coracao da loucura,NISE - O CORAÇÃO DA LOUCURA,0.0,0.0,0.0,7.0,0.0,0.0,,0,1
o abismo prateado,O ABISMO PRATEADO,0.0,0.0,0.0,8.0,0.0,0.0,,0,1
o acidente,O ACIDENTE,0.0,0.0,0.0,10.0,0.0,0.0,B2100232400000,0,1
o exercicio do caos,O EXERCÍCIO DO CAOS,0.0,0.0,0.0,2.0,0.0,0.0,,0,1
o outro lado do paraiso,O OUTRO LADO DO PARAÍSO,0.0,0.0,0.0,10.0,0.0,0.0,,0,1
