cpb;titulo;ano;categoria;segmento_destinacao_inicial;investimento_total_deflac
B2200462300000;UMA SENHORA PANELA;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);0.0
B2200325300000;VAMOS BRINCAR COM A TURMA DA MÔNICA - 1ª TEMPORADA;2022;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);3290193.0
B2300211800000;#DEIXAELA;2023;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);995885.0
B2300290700000;24 HORAS PARA REDECORAR – 3ª TEMPORADA;2023;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);2237003.26
B2300419800000;A FLOR DA IDADE;2023;Renúncia — Art.3/3-A/39;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);471735.0
B2300352800000;A ONDA;2023;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1493827.5
B2300149300000;A VIRADA;2023;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);2201430.0
B2300472000000;ABERTO PARA COMPRAS;2023;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);2348203.93
B2300403800000;ACENDE A LUZ;2023;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1098036.91
B2300457700000;AEROPORTO - ÁREA RESTRITA (5A TEMPORADA);2023;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);2685905.05
B2300319100000;ALTA ESTIMA;2023;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);3120242.57
B2300561600000;AMAZING RIDERS;2023;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1991080.01
B2300408400000;ASTRONAUTA;2023;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);5665905.29
B2300149000000;AUTO POSTO - 2ª TEMPORADA;2023;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);0.0
